Match_ID,League,Season,Date,Time,Team_Home,Team_Away,Score_Home,Score_Away,Label_Path
england_epl_2015-02-21_Chelsea_vs_Burnley,england_epl,2014-2015,2015-02-21,18:00,Chelsea,Burnley,1,1,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2014-2015\2015-02-21 - 18-00 Chelsea 1 - 1 Burnley\Labels-v2.json
england_epl_2015-02-21_Crystal_Palace_vs_Arsenal,england_epl,2014-2015,2015-02-21,18:00,Crystal Palace,Arsenal,1,2,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2014-2015\2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal\Labels-v2.json
england_epl_2015-02-21_Swansea_vs_Manchester_United,england_epl,2014-2015,2015-02-21,18:00,Swansea,Manchester United,2,1,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2014-2015\2015-02-21 - 18-00 Swansea 2 - 1 Manchester United\Labels-v2.json
england_epl_2015-02-22_Southampton_vs_Liverpool,england_epl,2014-2015,2015-02-22,19:15,Southampton,Liverpool,0,2,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2014-2015\2015-02-22 - 19-15 Southampton 0 - 2 Liverpool\Labels-v2.json
england_epl_2015-08-08_Chelsea_vs_Swansea,england_epl,2015-2016,2015-08-08,19:30,Chelsea,Swansea,2,2,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\Labels-v2.json
england_epl_2015-08-29_Chelsea_vs_Crystal_Palace,england_epl,2015-2016,2015-08-29,17:00,Chelsea,Crystal Palace,1,2,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2015-2016\2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace\Labels-v2.json
england_epl_2015-08-29_Manchester_City_vs_Watford,england_epl,2015-2016,2015-08-29,17:00,Manchester City,Watford,2,0,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2015-2016\2015-08-29 - 17-00 Manchester City 2 - 0 Watford\Labels-v2.json
england_epl_2015-09-12_Everton_vs_Chelsea,england_epl,2015-2016,2015-09-12,14:45,Everton,Chelsea,3,1,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2015-2016\2015-09-12 - 14-45 Everton 3 - 1 Chelsea\Labels-v2.json
england_epl_2015-09-12_Crystal_Palace_vs_Manchester_City,england_epl,2015-2016,2015-09-12,17:00,Crystal Palace,Manchester City,0,1,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2015-2016\2015-09-12 - 17-00 Crystal Palace 0 - 1 Manchester City\Labels-v2.json
england_epl_2015-09-19_Manchester_City_vs_West_Ham,england_epl,2015-2016,2015-09-19,19:30,Manchester City,West Ham,1,2,C:\Users\mansi\SheInnovates\SoccerNetData\england_epl\2015-2016\2015-09-19 - 19-30 Manchester City 1 - 2 West Ham\Labels-v2.json
